order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,167,Mary Jane,299,Cutlery,Home & Kitchen,UPI,42,6687,2023-01-01 00:00:00,USA,New York,www.ebay.in,87573,N,Timeout
2,164,Mary Jane,209,Glue Stick,Stationery,Card,3,235,2023-01-19 06:45:37,Germany,Munich,www.flipkart.com,81760,N,Insufficient Funds
3,159,Mary Jane,245,Binder,Stationery,Wallet,8,9729,2021-05-30 12:39:28,India,Mumbai,www.flipkart.com,12039,Y,None
4,192,Joe Smith,220,Bluetooth Earbuds,Electronics,Internet Banking,9,4712,2021-03-07 07:41:29,Germany,Munich,www.tatacliq.com,76728,N,Invalid CVV
5,188,Mary Jane,290,Mixing Bowls,Home & Kitchen,Internet Banking,8,8997,2021-01-21 02:13:12,UK,London,www.amazon.com,23007,Y,None
6,117,Mary Jane,277,Pressure Cooker,Home & Kitchen,Card,38,529,2023-03-04 20:03:07,India,Mumbai,www.tatacliq.com,21736,N,Invalid CVV
7,168,Mary Jane,233,Poetry,Books,Internet Banking,40,9358,2023-02-06 01:48:46,Australia,Sydney,www.amazon.com,46438,N,Timeout
8,177,Neo,213,Scarves,Clothing,Card,27,3213,2023-01-23 06:25:11,India,Bengaluru,www.ebay.in,76535,Y,None
9,192,Neo,294,Blouses,Clothing,Card,3,1972,2023-11-20 21:23:12,Germany,Berlin,www.amazon.com,77258,N,Insufficient Funds
10,133,Joe Smith,208,Glasses,Home & Kitchen,Card,40,3148,2021-05-15 15:47:01,UK,Oxford,www.flipkart.com,27646,Y,None
11,111,Mary Jane,207,Hoodies,Clothing,Wallet,21,794,2023-01-01 00:00:00,Germany,Hamburg,www.flipkart.com,33094,Y,None
12,164,John Smith,201,Blender,Home & Kitchen,Wallet,37,7917,2021-12-02 06:15:27,Australia,Sydney,www.tatacliq.com,58820,Y,None
13,145,Neo,212,Kitchen Scale,Home & Kitchen,Card,26,565,2023-03-10 07:09:48,India,Indore,www.flipkart.com,42284,Y,None
14,106,John Smith,223,Blouses,Clothing,UPI,37,1324,2023-10-20 12:28:20,USA,Chicago,www.tatacliq.com,49614,Y,None
15,198,Mary Jane,200,Cookbooks,Books,UPI,39,6595,2021-07-06 19:44:17,Australia,Melbourne,www.ebay.in,34246,N,Invalid CVV
16,102,Mary Jane,283,Kitchen Scale,Home & Kitchen,Internet Banking,46,611,2021-06-26 04:23:01,USA,New York,www.tatacliq.com,74996,Y,None
17,194,Joe Smith,286,Mystery,Books,UPI,32,7210,2023-09-09 04:12:46,Australia,Brisbane,www.tatacliq.com,55665,Y,None
18,186,John Smith,285,Jeans,Clothing,Wallet,15,2793,2021-01-02 16:42:30,USA,Chicago,www.tatacliq.com,91620,N,Timeout
19,108,John Smith,244,Headphones,Electronics,Internet Banking,50,6060,2021-08-12 09:27:25,USA,Boston,www.tatacliq.com,71768,Y,None
