order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,138,John Smith,239,VR Headset,Electronics,Wallet,33,3022,2022-06-05 12:13:18,Germany,Munich,www.amazon.com,91043,Y,None
2,138,John Smith,296,Hoodies,Clothing,Card,22,6471,2021-11-06 05:58:40,India,Indore,www.tatacliq.com,76319,N,Invalid CVV
3,198,Mary Jane,223,Historical Fiction,Books,UPI,27,5901,2021-03-20 17:49:02,UK,Oxford,www.tatacliq.com,59874,Y,None
4,153,Mary Jane,226,Highlighters,Stationery,Card,13,7722,2023-03-04 03:00:17,UK,London,www.ebay.in,13082,N,Invalid CVV
5,191,John Smith,214,USB Flash Drive,Electronics,UPI,31,1417,2023-07-15 19:54:15,Australia,Brisbane,www.amazon.com,90569,N,Insufficient Funds
6,141,Mary Jane,215,Smartphone,Electronics,Internet Banking,43,5399,2023-06-26 22:08:46,Germany,Munich,www.ebay.in,64083,N,Timeout
8,183,Neo,288,Laptop,Electronics,UPI,40,1715,2022-02-17 06:44:00,USA,Boston,www.tatacliq.com,57334,N,Timeout
9,194,Trinity,219,Glasses,Home & Kitchen,UPI,3,3430,2023-07-18 07:23:18,Australia,Brisbane,www.flipkart.com,36907,Y,None
10,149,Neo,245,Hats,Clothing,Internet Banking,43,8938,2022-07-24 20:56:20,USA,Boston,www.amazon.com,71101,Y,None
11,187,Trinity,232,External Hard Drive,Electronics,Internet Banking,29,2061,2021-10-02 11:38:05,UK,London,www.flipkart.com,73103,Y,None
12,118,John Smith,234,Fiction,Books,Internet Banking,22,8017,2021-03-06 04:22:31,India,Indore,www.ebay.in,98100,Y,None
13,142,Mary Jane,259,Fitness Tracker,Electronics,Internet Banking,50,9220,2023-10-06 12:32:50,India,Bengaluru,www.flipkart.com,25382,Y,None
14,137,Trinity,200,Headphones,Electronics,UPI,47,7656,2022-12-27 01:38:26,USA,Boston,www.flipkart.com,37410,N,Invalid CVV
15,149,John Smith,246,Pressure Cooker,Home & Kitchen,Card,9,8698,2021-12-24 06:49:47,USA,Chicago,www.tatacliq.com,65552,Y,None
