order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,138,John Smith,289.0,Swimwear,Clothing,Card,46,8169,2021-05-03 21:06:14,USA,Boston,www.flipkart.com,49700,Y,
2,196,John Smith,217.0,Whiteboard Markers,Stationery,UPI,29,516,2023-09-30 21:40:12,Australia,Brisbane,www.amazon.com,44112,N,Timeout
3,144,Neo,280.0,USB Flash Drive,Electronics,Card,12,4917,2023-07-25 16:03:16,Australia,Melbourne,www.tatacliq.com,87029,Y,
4,103,Neo,294.0,Eraser,Stationery,Card,33,8954,2022-03-05 07:41:42,UK,London,www.flipkart.com,47284,Y,
5,163,Joe Smith,273.0,Travel Books,Books,Wallet,3,1764,2022-06-08 05:01:08,Germany,Hamburg,www.tatacliq.com,95925,N,Timeout
6,172,John Smith,290.0,Pants,Clothing,Internet Banking,23,3396,2022-04-07 06:42:28,USA,Chicago,www.ebay.in,30930,N,Timeout
7,100,Mary Jane,266.0,Hoodies,Clothing,Internet Banking,12,6491,2023-06-15 19:36:02,USA,Chicago,www.ebay.in,70316,Y,
8,140,Mary Jane,246.0,Graphic Novels,Books,UPI,18,2030,2023-10-07 14:15:22,Australia,Sydney,www.amazon.com,81004,Y,
9,104,Neo,266.0,Ruler,Stationery,Internet Banking,43,7191,2023-02-20 14:59:10,Australia,Sydney,www.ebay.in,39280,Y,
10,175,Mary Jane,250.0,Jackets,Clothing,Wallet,48,4762,2023-04-26 07:56:10,India,Indore,www.flipkart.com,11656,Y,
11,182,,208.0,Paper Cutter,Stationery,Card,38,4724,2023-08-11 20:31:59,USA,Chicago,www.ebay.in,53115,N,Timeout
12,193,Trinity,278.0,Stapler,Stationery,Internet Banking,4,1004,2021-05-23 17:19:21,USA,New York,www.ebay.in,49274,Y,
13,167,Neo,281.0,Mixing Bowls,Home & Kitchen,Wallet,13,4862,2023-06-22 11:34:28,India,Mumbai,www.ebay.in,82489,N,Timeout
14,163,Neo,244.0,Notebook,Stationery,Internet Banking,40,9839,2022-12-04 18:19:14,UK,London,www.flipkart.com,27991,N,Timeout
15,195,Neo,241.0,T-Shirts,Clothing,UPI,50,8072,2021-07-13 21:28:32,Australia,Brisbane,www.amazon.com,30673,N,Invalid CVV
16,132,John Smith,283.0,Chopping Board,Home & Kitchen,UPI,50,9680,2021-10-10 18:28:53,Australia,Melbourne,www.amazon.com,45820,Y,
17,142,Trinity,261.0,Young Adult,Books,Card,18,1925,2023-07-07 01:42:03,USA,Boston,www.amazon.com,76008,Y,
18,133,Trinity,239.0,Food Storage Containers,Home & Kitchen,Wallet,2,6131,2023-02-04 06:24:54,Australia,Melbourne,www.flipkart.com,90488,Y,
19,143,John Smith,263.0,Binder,Stationery,Card,40,8289,2023-10-19 20:25:55,USA,Chicago,www.ebay.in,32260,Y,
20,163,Mary Jane,290.0,Shorts,Clothing,UPI,11,6049,2021-07-16 05:54:50,UK,Oxford,www.flipkart.com,75048,Y,
21,128,Trinity,220.0,Sweaters,Clothing,Internet Banking,19,5939,2021-03-25 02:36:09,Australia,Sydney,www.tatacliq.com,10873,N,Invalid CVV
22,156,Trinity,240.0,Non-fiction,Books,Card,33,606,2021-12-11 15:29:40,Germany,Munich,www.amazon.com,59268,Y,
23,188,Mary Jane,241.0,Food Storage Containers,Home & Kitchen,UPI,17,6076,2023-04-18 18:00:57,Germany,Munich,www.amazon.com,99352,Y,
24,178,,208.0,Blouses,Clothing,Wallet,24,4926,2022-12-20 20:54:31,UK,London,www.ebay.in,25818,N,Invalid CVV
25,169,John Smith,205.0,Projector,Electronics,Internet Banking,38,1836,2023-09-17 23:16:08,Australia,Melbourne,www.amazon.com,38652,Y,
26,173,Joe Smith,235.0,Textbooks,Books,UPI,27,2192,2023-12-18 23:08:57,USA,New York,www.amazon.com,94970,N,Insufficient Funds
27,197,John Smith,216.0,Fantasy,Books,Internet Banking,50,1884,2023-04-12 03:11:42,Australia,Brisbane,www.flipkart.com,91511,Y,
28,135,Trinity,263.0,Spatulas,Home & Kitchen,Wallet,42,1886,2023-04-07 14:13:24,Germany,Hamburg,www.flipkart.com,64013,Y,
29,157,John Smith,224.0,Sportswear,Clothing,Wallet,17,4190,2023-03-27 15:34:32,UK,London,www.tatacliq.com,13214,Y,
30,155,Joe Smith,211.0,Smartphone,Electronics,Internet Banking,30,5386,2022-10-28 22:01:43,Germany,Munich,www.tatacliq.com,47746,Y,
