order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,178,Trinity,274,Fitness Tracker,Electronics,Wallet,39,9779,2021-09-27 18:39:26,USA,New York,www.amazon.com,82377,N,Invalid CVV
2,174,Mary Jane,282,Home Theater System,Electronics,UPI,48,5879,2021-02-18 13:29:39,USA,Chicago,www.flipkart.com,21827,N,Invalid CVV
3,105,John Smith,282,External Hard Drive,Electronics,Card,38,9732,2021-12-24 23:30:32,Germany,Munich,www.tatacliq.com,15358,Y,
4,166,Mary Jane,294,Underwear,Clothing,Wallet,32,4093,2022-02-22 09:22:28,India,Mumbai,www.amazon.com,26921,Y,
5,126,Trinity,284,Measuring Cups,Home & Kitchen,Internet Banking,3,4804,2023-10-24 07:59:31,India,Indore,www.flipkart.com,29393,Y,
6,125,Trinity,224,Coats,Clothing,Card,28,6101,2022-02-15 00:07:55,UK,Oxford,www.tatacliq.com,62544,Y,
7,195,Trinity,258,Plates,Home & Kitchen,UPI,25,5398,2022-11-26 06:09:57,India,Indore,www.amazon.com,15978,Y,
8,134,Trinity,219,Cutlery,Home & Kitchen,Wallet,49,492,2022-11-25 20:36:41,India,Bengaluru,www.ebay.in,90225,N,Insufficient Funds
9,191,Joe Smith,232,File Folder,Stationery,Wallet,9,2023,2023-12-08 08:11:25,UK,Oxford,www.amazon.com,56897,N,Insufficient Funds
10,186,Joe Smith,286,Travel Books,Books,Wallet,30,6113,2021-05-13 06:48:10,India,Indore,www.ebay.in,23540,N,Insufficient Funds
11,111,Trinity,256,Spatulas,Home & Kitchen,Wallet,34,2551,2021-01-20 23:13:38,USA,Boston,www.ebay.in,19679,N,Insufficient Funds
12,169,John Smith,271,Cutlery,Home & Kitchen,Card,38,1439,2022-10-28 05:48:37,India,Bengaluru,www.flipkart.com,97625,N,Insufficient Funds
13,154,Neo,210,Letter Opener,Stationery,Card,2,4290,2021-12-04 14:51:54,Australia,Sydney,www.flipkart.com,93006,Y,
14,141,John Smith,203,Classics,Books,Internet Banking,50,4984,2023-08-18 23:29:30,UK,London,www.tatacliq.com,75820,N,Timeout
15,115,John Smith,296,Sticky Notes,Stationery,Card,50,5007,2023-07-26 04:36:51,India,Mumbai,www.amazon.com,20601,N,Insufficient Funds
16,129,Mary Jane,222,Tablet,Electronics,Wallet,25,3553,2021-12-11 14:04:13,India,Mumbai,www.tatacliq.com,93407,Y,
17,162,Joe Smith,269,Eraser,Stationery,Card,29,9221,2021-10-26 00:39:56,UK,London,www.ebay.in,27772,N,Timeout
18,175,Joe Smith,259,Graphic Novels,Books,Internet Banking,39,7322,2022-06-07 21:00:03,Germany,Berlin,www.tatacliq.com,20127,Y,
19,135,Trinity,281,Bluetooth Earbuds,Electronics,UPI,17,8327,2021-05-01 15:36:30,Germany,Berlin,www.flipkart.com,89516,N,Insufficient Funds
20,172,Trinity,228,Sweaters,Clothing,Card,26,8370,2022-05-31 20:04:01,Australia,Sydney,www.ebay.in,15572,Y,
21,176,,276,Whiteboard Markers,Stationery,Internet Banking,11,8731,2022-10-07 01:02:39,India,Indore,www.flipkart.com,44565,N,Timeout
22,130,Neo,218,File Folder,Stationery,Internet Banking,9,8637,2023-05-14 00:18:17,India,Indore,www.flipkart.com,86668,N,Insufficient Funds
23,182,Joe Smith,247,Jackets,Clothing,Internet Banking,7,5907,2023-07-27 12:33:41,UK,Oxford,www.flipkart.com,85904,N,Timeout
